"OTU","kingdom","phylum","class","order","family","genus","species"
"New.CleanUp.ReferenceOTU450443","Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae","Flavisolibacter",""
"New.CleanUp.ReferenceOTU450478","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Citrobacter",""
"New.CleanUp.ReferenceOTU450800","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",NA,NA
"New.CleanUp.ReferenceOTU451586","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",""
"New.CleanUp.ReferenceOTU451706","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"New.CleanUp.ReferenceOTU451750","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium",""
"New.CleanUp.ReferenceOTU451812","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Kaistobacter",""
"New.CleanUp.ReferenceOTU451859","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Klebsiella",""
"New.CleanUp.ReferenceOTU452244","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Citrobacter",""
"New.CleanUp.ReferenceOTU452278","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","",""
"New.CleanUp.ReferenceOTU452380","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",""
"New.CleanUp.ReferenceOTU453758","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","",""
"New.CleanUp.ReferenceOTU453907","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Klebsiella",""
"New.CleanUp.ReferenceOTU453913","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales",NA,NA,NA
"New.CleanUp.ReferenceOTU453975","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"New.CleanUp.ReferenceOTU454091","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"New.CleanUp.ReferenceOTU455291","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Cellvibrio",""
"New.CleanUp.ReferenceOTU455837","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales",NA,NA,NA
"New.CleanUp.ReferenceOTU456581","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","",""
"New.CleanUp.ReferenceOTU457090","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Citrobacter",""
"New.CleanUp.ReferenceOTU457344","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","",""
"New.CleanUp.ReferenceOTU457364","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium",""
"New.CleanUp.ReferenceOTU457474","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",""
"New.CleanUp.ReferenceOTU457715","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","",""
"New.CleanUp.ReferenceOTU457945","Bacteria","Chloroflexi","Thermomicrobia","JG30-KF-CM45","","",""
"New.CleanUp.ReferenceOTU458032","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","",""
"New.CleanUp.ReferenceOTU458185","Bacteria","Acidobacteria","[Chloracidobacteria]","RB41","","",""
"New.CleanUp.ReferenceOTU458294","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Citrobacter",""
"New.CleanUp.ReferenceOTU458527","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"New.CleanUp.ReferenceOTU459339","Bacteria","Cyanobacteria","Chloroplast","Streptophyta","","",""
"New.CleanUp.ReferenceOTU459942","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","",""
"New.CleanUp.ReferenceOTU460055","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","",""
"New.CleanUp.ReferenceOTU460226","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Citrobacter",""
"New.CleanUp.ReferenceOTU460338","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",""
"New.CleanUp.ReferenceOTU460434","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales",NA,NA,NA
"New.CleanUp.ReferenceOTU461310","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Citrobacter",""
"New.CleanUp.ReferenceOTU461368","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales",NA,NA,NA
"New.CleanUp.ReferenceOTU461497","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Citrobacter",""
"New.CleanUp.ReferenceOTU461655","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"New.CleanUp.ReferenceOTU461981","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Citrobacter",""
"New.CleanUp.ReferenceOTU462606","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Citrobacter",""
"New.CleanUp.ReferenceOTU462864","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium",""
"New.CleanUp.ReferenceOTU464118","Bacteria","Chloroflexi","C0119","","","",""
"New.CleanUp.ReferenceOTU464123","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales",NA,NA,NA
"New.CleanUp.ReferenceOTU464792","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",""
"New.CleanUp.ReferenceOTU465272","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Citrobacter",""
"New.CleanUp.ReferenceOTU465332","Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae","Segetibacter",""
"New.CleanUp.ReferenceOTU465368","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","",""
"New.CleanUp.ReferenceOTU465526","Bacteria","Verrucomicrobia","[Spartobacteria]","[Chthoniobacterales]","[Chthoniobacteraceae]","Ellin506",""
"New.CleanUp.ReferenceOTU465682","Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae","Segetibacter",""
"New.CleanUp.ReferenceOTU465696","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","","",""
"New.CleanUp.ReferenceOTU465830","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella",""
"New.CleanUp.ReferenceOTU466130","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","",""
"New.CleanUp.ReferenceOTU466212","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",""
"New.CleanUp.ReferenceOTU467072","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium",""
"New.CleanUp.ReferenceOTU467366","Bacteria","TM7","TM7-1","","","",""
"New.CleanUp.ReferenceOTU467415","Bacteria","Chloroflexi","TK10","B07_WMSP1","","",""
"New.CleanUp.ReferenceOTU468288","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Chryseobacterium",""
"New.CleanUp.ReferenceOTU468290","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Citrobacter",""
"New.CleanUp.ReferenceOTU468554","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Citrobacter",""
"New.CleanUp.ReferenceOTU469085","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","",""
"New.CleanUp.ReferenceOTU469392","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",""
"New.CleanUp.ReferenceOTU469735","Bacteria","Gemmatimonadetes","Gemm-3","","","",""
"New.CleanUp.ReferenceOTU469775","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Chryseobacterium",""
